word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
opium,1900,0,343,2,5.3973,True,"the indian opium traffic. on the resumption of business at scar- borough on thursday last week in connection with the whitby and darlington wesleyan methodist snuod, ..."
opium,1900,0,343,3,5.4083,True,the opium traffic. resolution of protest. at a meeting of the members of the above church. held after the snwice it was unanimously resolved :- 1. that this me...
opium,1900,0,343,5,5.4542,True,"opium-taking in many lands. peril of old ""cough-cures ."" &tem reveals a ureqn novelty. the degenerate chinese smoke their opium the turks eat theirs but in..."
opium,1900,0,343,6,5.4607,True,"opium-taking in many lands. peril of old ""cough-cures."" science reveals a unique novelty. the degenerate chinese smoke their opium: the turks eat theirs; b..."
opium,1900,0,343,7,5.4787,True,"opium traffic. at the baptist mission church, north ormesby, at the evening service on sun- day, the rev. chas. w. kent, taking as his text the werds, ""am ..."
opium,1900,0,343,9,5.4996,True,"alleged cure for 'opium habit. it is now stated, on the authority of the cura- tor of the pharmaceutical society of great bri- tain, to which specimens of the plant in flovv..."
opium,1900,0,343,10,5.4997,True,"an opium eater's confession. i began to take a little laudanum to get sleep (saya an opium victim), and i at last reached a personal dosage of i am afraid to ..."
opium,1900,0,343,11,5.5123,True,"naval expenditure, deadly • opium. report of the international the fleets of the prinqipai. inquiry. powers. the report of the international opium commiasion which sat last february i..."
opium,1900,0,343,12,5.5163,True,"weekl. cosereastoles op al. opium !atom in the ""loudon argus,"" dr. debbi writes: and i began to take a little laudanum to get sleep, and i at last reached a personal dosage of i am af..."
opium,1900,0,343,14,5.5561,True,"alleged cure for opium habit. it is now stated, on tho authority of the cura- tor of the pharmaceutical society of great bri- tain, to which specimens of the plant in flowe..."
opium,1900,0,343,16,5.5629,True,"the indian opium traffic. on the resumption of business at scar- borough on thursday last week in connection with the whitby and darlington wesleyan methodist snuod, ..."
opium,1900,0,343,18,5.5784,True,"alleged cure for opium habit. it is now stated, on tho authority of the cura- tor of the pharmaceutical society of great bri- tain, to which specimens of the plant in flowe..."
opium,1900,0,343,19,5.5955,True,"the opium traffic. resolution of protest. at a meeting of the members of the above church, held after the s?rvice it was unanimously resolved :- 1. that this m..."
opium,1900,0,343,20,5.6104,True,"the present edict. the present prohibition of opium smoking, and the cultivation of the poppy i i.ndoubtedly a direct answer to mr morley's decltration in the house of commons on may 30. that is. the "
opium,1900,0,343,21,5.6114,True,"opium-taking in many lands. peril of old ""cough-cures."" science reveals a unique novelty. the degenerate chinese smokd their opium the turks eat theirs; bu..."
opium,1900,0,343,22,5.625,True,"dikkki,. opium-taking in many lands. peril of old ""cough-cures."" science reveals a unique novelty. the degenerate chinese smoke their opium the turks eat theirs; bu..."
opium,1900,0,343,23,5.6309,True,"the chiu=aa and the opium pipe. the chinese claim that the use of opium is positive necessity to many, and ha\ it the most ex- travagant ideas as to its value in protecting th..."
opium,1900,0,343,24,5.6652,True,"tice opium trade. mr j. b. hodgkin presided at a meeting bald in the temperance institute. dar- lington, on monday, convened by the bev. d. walker, vicar of dar..."
opium,1900,0,343,25,5.672,True,"by john taylor. author of ""social sermonettes for working men."" the opium debate. ""the chinese question vva.s of the simplest. british subjects insisted on smuggling opium into china in the teeth of c"
opium,1900,0,343,26,5.6754,True,"opium traffic. at the baptist mission church, north ormesby, at the evening service on sun- day, the rev. chas. w. kent, taking as his text the werds, ""am ..."
opium,1900,0,343,30,5.6993,True,"the present edict. the present prohibition of opium smoking, and the cultivation of the poppy i i.ndoubtedly a direct answer to mr morley's decltration in the house of commons on may 30. that is. the "
opium,1900,0,343,31,5.7158,True,"tice opium trade. mr j. b. hodgkin presided at a meeting bald in the temperance institute. dar- lington, on monday, convened by the bev. d. walker, vicar of dar..."
opium,1900,0,343,32,5.7163,True,"opium-taking in many lands. peril of old moh-cures."" science reveals a uniqle novelty. the degenerate chinese smoke their opium; the turks eat theirs but i..."
opium,1900,0,343,33,5.7169,True,"8.-medicin'e seeds. the most in3portan4 medicine derived from the seeds of plants are opium, castor oil, and strychnine. opium is the thickened juice of the seed vessels of the white poppy, a native o"
opium,1900,0,343,35,5.7207,True,the opium traffic. resolution of protest. at a meeting of the members of the above church. held after the snwice it was unanimously resolved :- 1. that this me...
opium,1900,0,343,36,5.7302,True,"opium-taking in many lands. peril of old ""cough-cures."" science reveals a ihigia moults!. the degenerate chinese smoke their opium the turks eat theirs but..."
opium,1900,0,343,38,5.7955,True,"the chiu=aa and the opium pipe. the chinese claim that the use of opium is positive necessity to many, and ha\ it the most ex- travagant ideas as to its value in protecting th..."
opium,1900,0,343,39,5.8014,True,"our local ciiiegfies. rev. r. e. letheren and the opium trade. the bev. 11. e. i.:ltheren in the course of his sermon at the baptist church,golborne-street,on sunday morn- ing, referred to the interna"
opium,1900,0,343,40,5.8203,True,"our local ciiiegfies. rev. r. e. letheren and the opium trade. the bev. 11. e. i.:ltheren in the course of his sermon at the baptist church,golborne-street,on sunday morn- ing, referred to the interna"
opium,1900,0,343,42,5.8219,True,"our local ciiiegfies. rev. r. e. letheren and the opium trade. the bev. 11. e. i.:ltheren in the course of his sermon at the baptist church,golborne-street,on sunday morn- ing, referred to the interna"
opium,1900,0,343,43,5.8315,True,raid on a fashionable opium den. the paris police have raided a fashion- able opium den off the arc de triomphe in the rue de l'etoile. the furniture was seized and the place cl...
opium,1900,0,343,44,5.8323,True,"opium instead of money. in china opium is often used as a medium of exchange, instead of money. it is much less cumbersome to carry than the clumsy money c..."
